Feature ID,NRNS - NRNSA - Expression values,NRNS - NRNSB - Expression values,NRNS - NRNSC - Expression values,NRS - NRSA - Expression values,NRS - NRSB - Expression values,NRS - NRSC - Expression values
Medtr0027s0120,0,0,0,0,0,0
Medtr0027s0130,0,0,0,0,0,0
Medtr0027s0140,0,0,0,0,0,0
Medtr0027s0180,70,61,109,59,140,90
Medtr0027s0200,29,28,49,26,51,47
Medtr0027s0220,15,13,23,19,25,20
Medtr0027s0230,226,159,94,223,158,104
Medtr0027s0250,428,315,313,297,403,379
Medtr0027s0260,0,0,0,0,0,0
Medtr0028s0020,0,0,0,0,0,0
Medtr0028s0030,0,0,0,0,0,0
Medtr0028s0090,549,499,438,545,623,539
Medtr0028s0170,0,0,0,0,0,0
Medtr0028s0180,0,0,0,0,0,0
Medtr0028s0210,0,0,0,0,0,0
Medtr0028s0230,0,0,0,0,0,0
Medtr0028s0240,0,0,0,0,0,0
Medtr0028s0290,0,0,0,0,0,0
Medtr0028s0320,0,0,0,0,0,0
Medtr0029s0020,0,0,0,0,0,0
Medtr0029s0040,0,0,0,0,0,0
Medtr0029s0050,0,0,0,0,0,0
Medtr0029s0060,0,0,1,0,0,0
Medtr0029s0090,0,0,0,0,0,0
Medtr0029s0100,0,0,0,0,0,0
Medtr0029s0120,0,0,0,0,0,0
Medtr0029s0130,0,0,0,0,0,0
Medtr0029s0140,0,0,0,0,0,0
Medtr0029s0160,0,0,0,0,0,0
Medtr0029s0180,0,0,0,0,0,0
Medtr0029s0220,0,0,0,0,0,0
Medtr0029s0230,0,0,0,0,0,0
Medtr0030s0030,0,0,0,0,0,0
Medtr0030s0040,0,0,0,0,0,0
Medtr0030s0050,0,0,0,0,0,0
Medtr0030s0060,0,0,0,0,0,0
Medtr0030s0070,0,0,0,0,0,0
Medtr0030s0080,0,0,0,0,0,0
Medtr0030s0090,0,0,0,0,0,0
Medtr0030s0110,0,0,0,0,0,0
Medtr0030s0120,0,0,0,0,0,0
Medtr0030s0130,0,0,0,0,0,0
Medtr0030s0140,0,0,0,0,0,0
Medtr0030s0150,0,0,0,0,0,0
Medtr0030s0160,0,0,0,0,0,0
Medtr0030s0170,0,0,0,0,0,0
Medtr0030s0190,0,0,0,0,0,0
Medtr0030s0200,0,0,0,0,0,0
Medtr0030s0260,0,0,0,0,0,0
Medtr0030s0270,0,0,0,0,0,0
Medtr0030s0280,0,0,0,0,0,0
Medtr0030s0290,0,0,0,0,0,0
Medtr0030s0310,0,0,0,0,0,0
Medtr0030s0320,0,0,0,0,0,0
Medtr0030s0330,0,0,0,0,0,0
Medtr0030s0340,0,0,0,0,0,0
Medtr0030s0360,0,0,0,0,0,0
Medtr0030s0370,0,0,0,0,0,0
Medtr0030s0380,0,0,0,0,0,0
Medtr0030s0390,0,0,0,0,0,0
Medtr0030s0400,0,0,0,0,0,0
Medtr0030s0420,0,0,0,0,0,0
Medtr0030s0430,0,0,0,0,0,0
Medtr0031s0030,0,0,0,0,0,0
Medtr0031s0050,0,0,0,0,0,0
Medtr0031s0060,45,74,44,50,61,53
Medtr0031s0120,0,0,0,0,0,0
Medtr0031s0130,0,0,0,0,0,1
Medtr0031s0140,0,0,0,0,0,0
Medtr0032s0020,0,0,0,0,0,0
Medtr0032s0030,3,2,2,2,2,0
Medtr0032s0040,512,689,635,421,598,531
Medtr0032s0050,22,18,20,18,19,16
Medtr0032s0060,21,31,29,17,35,23
Medtr0032s0070,16,18,14,8,5,10
Medtr0032s0080,34,19,18,16,11,3
Medtr0032s0090,0,0,0,0,0,0
Medtr0032s0100,0,0,0,0,0,0
Medtr0032s0120,0,0,0,0,0,0
Medtr0032s0170,0,0,0,0,0,0
Medtr0032s0190,0,0,0,0,0,0
Medtr0032s0260,0,0,0,0,0,0
Medtr0034s0060,5137,5411,6789,4323,6913,6373
Medtr0034s0100,0,0,0,0,0,0
Medtr0034s0110,0,0,0,0,0,0
Medtr0034s0120,0,0,0,0,0,0
Medtr0034s0130,0,0,0,0,0,0
Medtr0034s0170,230,201,190,236,247,172
Medtr0034s0190,35,43,33,35,51,43
Medtr0035s0050,0,0,0,0,0,0
Medtr0035s0070,0,0,0,0,0,0
Medtr0035s0100,0,0,0,0,0,0
Medtr0035s0150,233,249,248,241,238,285
Medtr0036s0010,74,94,96,59,99,54
Medtr0036s0020,0,0,0,0,0,0
Medtr0036s0040,96,94,93,61,102,102
Medtr0036s0050,7,2,0,3,5,6
Medtr0036s0070,1,0,0,1,0,0
Medtr0036s0090,0,0,0,0,0,0
Medtr0036s0110,0,0,0,0,0,0
Medtr0036s0130,0,0,0,0,0,0
Medtr0036s0140,451,550,481,419,474,504
Medtr0036s0150,871,828,816,833,978,967
Medtr0036s0160,0,0,0,0,0,0
Medtr0036s0210,195,176,165,200,243,213
Medtr0036s0220,0,0,0,0,1,0
Medtr0036s0240,25,26,32,18,24,21
Medtr0036s0250,17,29,25,18,9,22
Medtr0036s0260,16,22,19,29,15,17
Medtr0036s0270,23,46,42,43,33,27
Medtr0036s0280,68,88,66,71,59,58
Medtr0036s0310,0,0,0,0,0,0
Medtr0036s0320,187,212,191,160,201,210
Medtr0037s0010,0,0,0,0,0,0
Medtr0037s0020,0,0,0,0,0,0
Medtr0037s0030,0,0,0,0,0,0
Medtr0037s0060,22,28,20,22,31,26
Medtr0037s0160,0,0,0,0,0,0
Medtr0037s0250,44,48,41,39,63,38
Medtr0038s0010,0,0,0,0,0,0
Medtr0038s0030,0,0,0,0,0,0
Medtr0038s0040,0,0,0,0,0,0
Medtr0038s0050,0,0,0,0,0,0
Medtr0038s0060,0,0,0,0,0,1
