Feature ID,salt,salt,salt,salt,salt,salt
Medtr0019s0010,58,44,74,44,49,59
Medtr0019s0020,185,175,209,189,154,199
Medtr0019s0040,0,0,0,0,0,0
Medtr0019s0060,0,0,0,0,0,0
Medtr0019s0070,124,140,106,107,94,123
Medtr0019s0080,0,0,0,0,0,0
Medtr0019s0090,0,0,0,0,0,0
Medtr0019s0100,20,13,13,7,5,17
Medtr0019s0110,0,0,0,0,0,2
Medtr0019s0120,440,465,455,403,438,486
Medtr0019s0130,0,0,0,0,0,0
Medtr0019s0150,0,0,0,0,0,0
Medtr0019s0160,128,184,172,95,242,196
Medtr0019s0170,0,0,0,0,0,0
Medtr0019s0180,60,100,96,61,80,62
Medtr0019s0190,4,2,1,1,2,1
Medtr0019s0210,9,15,9,1,11,15
Medtr0019s0270,0,0,0,0,0,0
Medtr0019s0290,0,0,0,0,0,0
Medtr0019s0310,0,0,1,0,0,0
Medtr0019s0320,0,0,0,0,0,1
Medtr0019s0330,0,0,0,0,0,0
Medtr0019s0340,0,0,0,0,0,0
Medtr0020s0020,326,345,371,275,324,373
Medtr0020s0050,0,0,0,0,0,0
Medtr0020s0100,0,0,0,0,0,0
Medtr0020s0120,458,315,340,322,275,396
Medtr0020s0130,736,705,656,672,607,716
Medtr0020s0150,0,0,0,0,0,0
Medtr0020s0170,0,0,0,0,0,0
Medtr0021s0120,925,834,731,1099,840,925
Medtr0021s0130,19,9,13,16,12,18
Medtr0021s0140,37,54,46,36,57,66
Medtr0021s0160,0,2,2,295,1,0
Medtr0021s0190,0,0,0,0,0,0
Medtr0021s0200,0,0,0,0,0,0
Medtr0021s0240,0,0,0,0,0,0
Medtr0021s0250,0,0,0,0,0,0
Medtr0021s0270,0,0,0,0,0,0
Medtr0021s0280,0,0,0,0,0,0
Medtr0021s0360,119,237,130,203,250,186
Medtr0021s0370,9,11,12,16,15,19
Medtr0021s0380,0,0,0,0,0,0
Medtr0022s0020,0,0,0,0,0,0
Medtr0022s0200,4,5,9,7,5,3
Medtr0022s0280,304,313,315,232,340,332
Medtr0022s0290,35,24,23,15,13,20
Medtr0022s0300,403,495,413,454,466,460
Medtr0022s0330,0,0,0,0,0,0
Medtr0022s0360,165,162,148,127,165,184
Medtr0022s0370,0,0,0,0,0,0
Medtr0022s0430,530,488,451,525,411,529
Medtr0022s0450,0,0,0,0,0,0
Medtr0022s0460,0,0,0,0,0,0
Medtr0022s0480,0,0,0,0,0,0
Medtr0023s0130,0,0,0,0,0,0
Medtr0023s0160,0,0,0,0,0,0
Medtr0023s0210,0,0,0,0,0,0
Medtr0023s0240,0,0,0,0,0,0
Medtr0023s0260,0,0,0,0,0,0
Medtr0023s0280,0,0,0,0,0,0
Medtr0023s0340,0,0,0,0,0,0
Medtr0023s0370,0,0,0,0,0,0
Medtr0024s0010,11,13,8,12,8,9
Medtr0024s0020,231,288,235,236,266,291
Medtr0024s0040,0,0,0,0,0,0
Medtr0024s0060,261,350,292,266,392,373
Medtr0024s0070,816,1084,963,816,957,1023
Medtr0024s0080,0,0,1,0,0,0
Medtr0024s0090,0,0,0,0,0,0
Medtr0024s0100,0,0,0,0,0,0
Medtr0024s0110,2,0,0,2,1,3
Medtr0024s0120,0,1,0,0,0,0
Medtr0024s0130,0,0,0,0,0,0
Medtr0024s0140,0,0,0,0,0,0
Medtr0024s0150,0,0,0,0,0,0
Medtr0024s0160,0,0,0,0,0,0
Medtr0024s0170,0,0,0,0,0,0
Medtr0024s0180,0,0,0,0,0,0
Medtr0024s0190,0,0,0,0,0,0
Medtr0024s0220,3880,7110,4191,4279,7794,5803
Medtr0024s0240,3,1,2,1,0,0
Medtr0024s0250,0,0,0,0,0,0
Medtr0024s0260,386,294,400,201,224,318
Medtr0024s0300,0,0,0,0,0,0
Medtr0024s0310,0,0,2,1,4,2
Medtr0024s0320,0,1,0,0,0,0
Medtr0024s0330,214,409,289,279,494,390
Medtr0024s0340,0,0,0,0,0,0
Medtr0025s0030,0,0,0,0,0,0
Medtr0025s0050,0,0,0,0,0,0
Medtr0025s0060,4909,5815,5190,5682,4900,6136
Medtr0025s0110,4,11,23,5,10,19
Medtr0026s0010,1104,677,569,935,568,583
Medtr0026s0160,88,144,110,114,162,153
Medtr0026s0190,0,0,0,0,0,0
Medtr0026s0200,268,260,272,201,239,313
Medtr0026s0210,108,115,395,71,110,239
Medtr0026s0220,0,0,0,0,0,0
Medtr0026s0230,0,0,0,0,0,0
Medtr0027s0010,0,3,0,0,0,0
Medtr0027s0030,0,0,0,0,0,0
Medtr0027s0040,0,0,0,0,0,0
Medtr0027s0090,314,372,352,358,379,407
Medtr0027s0100,0,0,0,0,0,0
Medtr0027s0120,0,0,0,0,0,0
Medtr0027s0130,0,0,0,0,0,0
Medtr0027s0140,0,0,0,0,0,0
Medtr0027s0180,59,140,90,81,140,100
Medtr0027s0200,26,51,47,30,61,40
Medtr0027s0220,19,25,20,12,27,16
Medtr0027s0230,223,158,104,162,132,137
Medtr0027s0250,297,403,379,361,542,413
Medtr0027s0260,0,0,0,0,0,0
Medtr0028s0020,0,0,0,0,0,0
Medtr0028s0030,0,0,0,0,0,0
Medtr0028s0090,545,623,539,521,584,549
Medtr0028s0170,0,0,0,0,0,0
Medtr0028s0180,0,0,0,0,0,0
Medtr0028s0210,0,0,0,0,0,0
Medtr0028s0230,0,0,0,0,0,0
Medtr0028s0240,0,0,0,0,0,0
Medtr0028s0290,0,0,0,0,0,0
Medtr0028s0320,0,0,0,0,0,0
Medtr0029s0020,0,0,0,0,0,0
Medtr0029s0040,0,0,0,0,0,0
Medtr0029s0050,0,0,0,0,0,0
Medtr0029s0060,0,0,0,0,0,0
Medtr0029s0090,0,0,0,0,0,0
Medtr0029s0100,0,0,0,0,0,0
Medtr0029s0120,0,0,0,0,0,0
Medtr0029s0130,0,0,0,0,0,0
Medtr0029s0140,0,0,0,0,0,0
Medtr0029s0160,0,0,0,0,0,0
Medtr0029s0180,0,0,0,0,0,0
Medtr0029s0220,0,0,0,0,0,0
Medtr0029s0230,0,0,0,0,0,0
Medtr0030s0030,0,0,0,0,0,0
Medtr0030s0040,0,0,0,0,0,0
Medtr0030s0050,0,0,0,0,0,0
Medtr0030s0060,0,0,0,0,0,0
Medtr0030s0070,0,0,0,0,0,0
Medtr0030s0080,0,0,0,0,0,0
Medtr0030s0090,0,0,0,0,0,0
Medtr0030s0110,0,0,0,0,0,0
Medtr0030s0120,0,0,0,0,0,0
Medtr0030s0130,0,0,0,0,0,0
Medtr0030s0140,0,0,0,0,0,0
Medtr0030s0150,0,0,0,0,0,0
Medtr0030s0160,0,0,0,0,0,0
Medtr0030s0170,0,0,0,0,0,0
Medtr0030s0190,0,0,0,0,0,0
Medtr0030s0200,0,0,0,0,0,0
Medtr0030s0260,0,0,0,0,0,0
Medtr0030s0270,0,0,0,0,0,0
Medtr0030s0280,0,0,0,0,0,0
Medtr0030s0290,0,0,0,0,0,0
Medtr0030s0310,0,0,0,0,0,0
Medtr0030s0320,0,0,0,0,0,0
Medtr0030s0330,0,0,0,0,0,0
Medtr0030s0340,0,0,0,0,0,0
Medtr0030s0360,0,0,0,0,0,0
Medtr0030s0370,0,0,0,0,0,0
Medtr0030s0380,0,0,0,0,0,0
Medtr0030s0390,0,0,0,0,0,0
Medtr0030s0400,0,0,0,0,0,0
Medtr0030s0420,0,0,0,0,0,0
Medtr0030s0430,0,0,0,0,0,0
Medtr0031s0030,0,0,0,0,0,0
Medtr0031s0050,0,0,0,0,0,0
Medtr0031s0060,50,61,53,70,53,81
Medtr0031s0120,0,0,0,0,0,0
Medtr0031s0130,0,0,1,0,0,0
Medtr0031s0140,0,0,0,0,0,0
Medtr0032s0020,0,0,0,0,0,0
Medtr0032s0030,2,2,0,0,4,1
Medtr0032s0040,421,598,531,436,573,611
Medtr0032s0050,18,19,16,13,13,13
Medtr0032s0060,17,35,23,28,19,35
Medtr0032s0070,8,5,10,13,8,5
Medtr0032s0080,16,11,3,19,11,10
Medtr0032s0090,0,0,0,0,0,0
Medtr0032s0100,0,0,0,0,0,0
Medtr0032s0120,0,0,0,0,0,0
Medtr0032s0170,0,0,0,0,0,0
Medtr0032s0190,0,0,0,0,0,0
Medtr0032s0260,0,0,0,0,0,0
Medtr0034s0060,4323,6913,6373,4764,6024,7357
Medtr0034s0100,0,0,0,0,0,0
Medtr0034s0110,0,0,0,0,0,0
Medtr0034s0120,0,0,0,0,0,0
Medtr0034s0130,0,0,0,0,0,0
Medtr0034s0170,236,247,172,209,167,245
Medtr0034s0190,35,51,43,39,55,51
Medtr0035s0050,0,0,0,0,0,0
Medtr0035s0070,0,0,0,0,0,0
Medtr0035s0100,0,0,0,0,0,0
Medtr0035s0150,241,238,285,305,283,226
Medtr0036s0010,59,99,54,119,115,107
Medtr0036s0020,0,0,0,0,0,0
Medtr0036s0040,61,102,102,76,166,104
Medtr0036s0050,3,5,6,1,3,1
Medtr0036s0070,1,0,0,0,0,1
Medtr0036s0090,0,0,0,0,0,0
Medtr0036s0110,0,0,0,2,2,1
Medtr0036s0130,0,0,0,0,0,0
Medtr0036s0140,419,474,504,388,422,471
Medtr0036s0150,833,978,967,829,962,1065
Medtr0036s0160,0,0,0,0,0,0
Medtr0036s0210,200,243,213,203,234,197
Medtr0036s0220,0,1,0,0,0,0
Medtr0036s0240,18,24,21,27,32,23
Medtr0036s0250,18,9,22,14,11,16
Medtr0036s0260,29,15,17,19,20,27
Medtr0036s0270,43,33,27,32,31,46
Medtr0036s0280,71,59,58,60,67,44
Medtr0036s0310,0,0,0,0,1,0
Medtr0036s0320,160,201,210,158,184,180
Medtr0037s0010,0,0,0,0,0,0
Medtr0037s0020,0,0,0,0,0,0
Medtr0037s0030,0,0,0,0,0,0
Medtr0037s0060,22,31,26,20,41,26
Medtr0037s0160,0,0,0,0,0,0
Medtr0037s0250,39,63,38,32,49,50
Medtr0038s0010,0,0,0,0,0,0
Medtr0038s0030,0,0,0,0,0,0
Medtr0038s0040,0,0,0,0,0,0
Medtr0038s0050,0,0,0,0,0,0
Medtr0038s0060,0,0,1,0,1,0
Medtr0038s0070,0,0,0,0,0,0
Medtr0038s0080,1,1,1,0,0,0
Medtr0038s0110,0,0,0,0,0,0
Medtr0039s0040,0,0,0,0,0,0
Medtr0039s0050,0,0,0,0,0,0
Medtr0039s0060,0,0,0,0,0,0
Medtr0039s0080,16,15,25,73,34,24
Medtr0039s0090,0,0,0,0,0,0
Medtr0039s0180,0,0,0,0,0,0
Medtr0040s0030,0,0,0,0,0,0
Medtr0040s0040,0,0,0,0,0,0
Medtr0040s0060,0,0,0,0,0,0
Medtr0040s0110,27,32,19,31,39,32
Medtr0040s0140,128,137,123,118,119,133
Medtr0040s0150,0,0,0,0,0,0
Medtr0041s0030,2331,3072,2461,2594,2869,2891
Medtr0041s0050,0,0,0,0,0,0
Medtr0041s0060,0,0,0,0,0,0
Medtr0041s0080,0,0,0,0,0,0
Medtr0041s0100,0,0,1,0,0,0
Medtr0041s0110,0,0,0,0,0,0
Medtr0041s0120,0,0,0,0,0,0
Medtr0041s0130,2,2,1,3,1,1
Medtr0041s0140,1,0,0,0,0,2
Medtr0042s0030,0,0,0,0,0,0
Medtr0042s0040,0,0,0,0,0,0
Medtr0042s0070,0,0,0,0,0,0
Medtr0042s0100,0,0,0,0,0,0
Medtr0042s0120,0,0,0,0,0,0
Medtr0042s0130,4,5,2,5,3,0
Medtr0042s0170,1,0,0,0,0,0
Medtr0042s0190,564,601,607,503,600,570
Medtr0042s0230,57,74,69,83,36,53
Medtr0043s0030,0,0,0,0,0,0
Medtr0043s0040,0,0,0,0,0,0
Medtr0043s0050,0,0,0,0,0,0
Medtr0043s0060,0,0,0,0,0,0
Medtr0043s0080,39,69,73,77,55,45
Medtr0043s0110,24,27,18,42,32,19
Medtr0043s0140,0,0,0,0,0,0
Medtr0044s0040,0,0,0,0,0,0
Medtr0044s0050,0,0,0,0,0,0
Medtr0044s0090,0,0,0,0,0,0
Medtr0044s0120,0,0,0,0,0,0
Medtr0044s0130,0,0,0,0,0,0
Medtr0044s0150,0,0,0,0,0,0
Medtr0044s0160,0,0,0,0,0,0
Medtr0044s0180,291,497,339,372,523,429
Medtr0044s0190,0,0,0,0,0,0
Medtr0044s0250,0,0,0,0,0,0
